,Move,Type,Power,Accuracy,PP,Pokemon
134,Fire Blast,Fire,120,85,5,Charmeleon
135,Swift,Normal,60,0,20,Charmeleon
136,Skull Bash,Normal,100,100,15,Charmeleon
137,Rest,Psychic,0,0,10,Charmeleon
138,Substitute,Normal,0,0,10,Charmeleon
139,Cut,Normal,50,95,30,Charmeleon
140,Strength,Normal,80,100,15,Charmeleon
141,Scratch,Normal,40,100,35,Charizard
142,Growl,Normal,0,100,40,Charizard
143,Ember,Fire,40,100,25,Charizard
144,Leer,Normal,0,100,30,Charizard
145,Ember,Fire,40,100,25,Charizard
146,Leer,Normal,0,100,30,Charizard
147,Rage,Normal,20,100,20,Charizard
148,Slash,Normal,70,100,20,Charizard
149,Flamethrower,Fire,95,100,15,Charizard
150,Fire Spin,Fire,15,70,15,Charizard
151,Mega Punch,Normal,80,85,20,Charizard
152,Swords Dance,Normal,0,0,30,Charizard
153,Mega Kick,Normal,120,75,5,Charizard
154,Toxic,Poison,0,85,10,Charizard
155,Body Slam,Normal,85,100,15,Charizard
156,Take Down,Normal,90,85,20,Charizard
157,Double-Edge,Normal,100,100,15,Charizard
158,Hyper Beam,Normal,150,90,5,Charizard
159,Submission,Fighting,80,80,25,Charizard
160,Counter,Fighting,0,100,20,Charizard
161,Seismic Toss,Fighting,0,100,20,Charizard
162,Rage,Normal,20,100,20,Charizard
163,Dragon Rage,Dragon,0,100,10,Charizard
164,Earthquake,Ground,100,100,10,Charizard
165,Fissure,Ground,0,30,5,Charizard
166,Dig,Ground,100,100,10,Charizard
167,Mimic,Normal,0,100,10,Charizard
168,Double Team,Normal,0,0,15,Charizard
169,Reflect,Psychic,0,0,20,Charizard
170,Bide,Normal,0,0,10,Charizard
171,Fire Blast,Fire,120,85,5,Charizard
172,Swift,Normal,60,0,20,Charizard
173,Skull Bash,Normal,100,100,15,Charizard
174,Rest,Psychic,0,0,10,Charizard
175,Substitute,Normal,0,0,10,Charizard
176,Cut,Normal,50,95,30,Charizard
177,Fly,Flying,70,95,15,Charizard
178,Strength,Normal,80,100,15,Charizard
179,Tackle,Normal,35,95,35,Squirtle
180,Tail Whip,Normal,0,100,30,Squirtle
181,Bubble,Water,20,100,30,Squirtle
182,Water Gun,Water,40,100,25,Squirtle
183,Bite,Normal,60,100,25,Squirtle
184,Withdraw,Water,0,0,40,Squirtle
185,Skull Bash,Normal,100,100,15,Squirtle
186,Hydro Pump,Water,120,80,5,Squirtle
187,Mega Punch,Normal,80,85,20,Squirtle
188,Mega Kick,Normal,120,75,5,Squirtle
189,Toxic,Poison,0,85,10,Squirtle
190,Body Slam,Normal,85,100,15,Squirtle
191,Take Down,Normal,90,85,20,Squirtle
192,Double-Edge,Normal,100,100,15,Squirtle
193,BubbleBeam,Water,65,100,20,Squirtle
194,Water Gun,Water,40,100,25,Squirtle
195,Ice Beam,Ice,95,100,10,Squirtle
196,Blizzard,Ice,120,90,5,Squirtle
197,Submission,Fighting,80,80,25,Squirtle
198,Counter,Fighting,0,100,20,Squirtle
199,Seismic Toss,Fighting,0,100,20,Squirtle
200,Rage,Normal,20,100,20,Squirtle
201,Dig,Ground,100,100,10,Squirtle
202,Mimic,Normal,0,100,10,Squirtle
203,Double Team,Normal,0,0,15,Squirtle
204,Reflect,Psychic,0,0,20,Squirtle
205,Bide,Normal,0,0,10,Squirtle
206,Skull Bash,Normal,100,100,15,Squirtle
207,Rest,Psychic,0,0,10,Squirtle
208,Substitute,Normal,0,0,10,Squirtle
209,Surf,Water,95,100,15,Squirtle
210,Strength,Normal,80,100,15,Squirtle
211,Tackle,Normal,35,95,35,Wartortle
212,Tail Whip,Normal,0,100,30,Wartortle
213,Bubble,Water,20,100,30,Wartortle
214,Bubble,Water,20,100,30,Wartortle
215,Water Gun,Water,40,100,25,Wartortle
216,Bite,Normal,60,100,25,Wartortle
217,Withdraw,Water,0,0,40,Wartortle
218,Skull Bash,Normal,100,100,15,Wartortle
219,Hydro Pump,Water,120,80,5,Wartortle
220,Mega Punch,Normal,80,85,20,Wartortle
221,Mega Kick,Normal,120,75,5,Wartortle
222,Toxic,Poison,0,85,10,Wartortle
223,Body Slam,Normal,85,100,15,Wartortle
224,Take Down,Normal,90,85,20,Wartortle
225,Double-Edge,Normal,100,100,15,Wartortle
226,BubbleBeam,Water,65,100,20,Wartortle
227,Water Gun,Water,40,100,25,Wartortle
228,Ice Beam,Ice,95,100,10,Wartortle
229,Blizzard,Ice,120,90,5,Wartortle
230,Submission,Fighting,80,80,25,Wartortle
231,Counter,Fighting,0,100,20,Wartortle
232,Seismic Toss,Fighting,0,100,20,Wartortle
233,Rage,Normal,20,100,20,Wartortle
234,Dig,Ground,100,100,10,Wartortle
235,Mimic,Normal,0,100,10,Wartortle
236,Double Team,Normal,0,0,15,Wartortle
237,Reflect,Psychic,0,0,20,Wartortle
238,Bide,Normal,0,0,10,Wartortle
239,Skull Bash,Normal,100,100,15,Wartortle
240,Rest,Psychic,0,0,10,Wartortle
241,Substitute,Normal,0,0,10,Wartortle
242,Surf,Water,95,100,15,Wartortle
243,Strength,Normal,80,100,15,Wartortle
244,Tackle,Normal,35,95,35,Blastoise
245,Tail Whip,Normal,0,100,30,Blastoise
246,Bubble,Water,20,100,30,Blastoise
247,Water Gun,Water,40,100,25,Blastoise
248,Bubble,Water,20,100,30,Blastoise
249,Water Gun,Water,40,100,25,Blastoise
250,Bite,Normal,60,100,25,Blastoise
251,Withdraw,Water,0,0,40,Blastoise
252,Skull Bash,Normal,100,100,15,Blastoise
253,Hydro Pump,Water,120,80,5,Blastoise
254,Mega Punch,Normal,80,85,20,Blastoise
255,Mega Kick,Normal,120,75,5,Blastoise
256,Toxic,Poison,0,85,10,Blastoise
257,Body Slam,Normal,85,100,15,Blastoise
258,Take Down,Normal,90,85,20,Blastoise
259,Double-Edge,Normal,100,100,15,Blastoise
260,BubbleBeam,Water,65,100,20,Blastoise
261,Water Gun,Water,40,100,25,Blastoise
262,Ice Beam,Ice,95,100,10,Blastoise
263,Blizzard,Ice,120,90,5,Blastoise
264,Hyper Beam,Normal,150,90,5,Blastoise
265,Submission,Fighting,80,80,25,Blastoise
266,Counter,Fighting,0,100,20,Blastoise
267,Seismic Toss,Fighting,0,100,20,Blastoise
268,Rage,Normal,20,100,20,Blastoise
269,Earthquake,Ground,100,100,10,Blastoise
270,Fissure,Ground,0,30,5,Blastoise
271,Dig,Ground,100,100,10,Blastoise
272,Mimic,Normal,0,100,10,Blastoise
273,Double Team,Normal,0,0,15,Blastoise
274,Reflect,Psychic,0,0,20,Blastoise
275,Bide,Normal,0,0,10,Blastoise
276,Skull Bash,Normal,100,100,15,Blastoise
277,Rest,Psychic,0,0,10,Blastoise
278,Substitute,Normal,0,0,10,Blastoise
279,Surf,Water,95,100,15,Blastoise
280,Strength,Normal,80,100,15,Blastoise
281,Tackle,Normal,35,95,35,Caterpie
282,String Shot,Bug,0,95,40,Caterpie
283,Harden,Normal,0,101,30,Metapod
284,Harden,Normal,0,101,30,Metapod
285,Confusion,Psychic,50,100,25,Butterfree
286,Confusion,Psychic,50,100,25,Butterfree
287,PoisonPowder,Poison,0,75,35,Butterfree
288,Stun Spore,Grass,0,75,30,Butterfree
289,Sleep Powder,Grass,0,75,15,Butterfree
290,Supersonic,Normal,0,55,20,Butterfree
291,Whirlwind,Normal,0,85,20,Butterfree
292,Gust,Normal,40,100,35,Butterfree
293,Psybeam,Psychic,65,100,20,Butterfree
294,Razor Wind,Normal,80,75,10,Butterfree
295,Whirlwind,Normal,0,85,20,Butterfree
296,Toxic,Poison,0,85,10,Butterfree
297,Take Down,Normal,90,85,20,Butterfree
298,Double-Edge,Normal,100,100,15,Butterfree
299,Hyper Beam,Normal,150,90,5,Butterfree
300,Rage,Normal,20,100,20,Butterfree
301,Mega Drain,Grass,40,100,10,Butterfree
302,SolarBeam,Grass,120,100,10,Butterfree
303,Psychic,Psychic,90,100,10,Butterfree
304,Teleport,Psychic,0,0,20,Butterfree
305,Mimic,Normal,0,100,10,Butterfree
306,Double Team,Normal,0,0,15,Butterfree
307,Reflect,Psychic,0,0,20,Butterfree
308,Bide,Normal,0,0,10,Butterfree
309,Swift,Normal,60,0,20,Butterfree
310,Rest,Psychic,0,0,10,Butterfree
311,Psywave,Psychic,0,80,15,Butterfree
312,Substitute,Normal,0,0,10,Butterfree
313,Flash,Normal,0,70,20,Butterfree
314,Poison Sting,Poison,15,100,35,Weedle
315,String Shot,Bug,0,95,40,Weedle
316,Harden,Normal,0,0,30,Kakuna
317,Fury Attack,Normal,15,85,20,Beedrill
318,Fury Attack,Normal,15,85,20,Beedrill
319,Focus Energy,Normal,0,0,30,Beedrill
320,Twineedle,Bug,25,100,20,Beedrill
321,Rage,Normal,20,100,20,Beedrill
322,Pin Missile,Bug,14,85,20,Beedrill
323,Agility,Psychic,0,0,30,Beedrill
324,Swords Dance,Normal,0,0,30,Beedrill
325,Toxic,Poison,0,85,10,Beedrill
326,Take Down,Normal,90,85,20,Beedrill
327,Double-Edge,Normal,100,100,15,Beedrill
328,Hyper Beam,Normal,150,90,5,Beedrill
329,Rage,Normal,20,100,20,Beedrill
330,Mega Drain,Grass,40,100,10,Beedrill
331,Mimic,Normal,0,100,10,Beedrill
332,Double Team,Normal,0,0,15,Beedrill
333,Reflect,Psychic,0,0,20,Beedrill
334,Bide,Normal,0,0,10,Beedrill
335,Swift,Normal,60,0,20,Beedrill
336,Skull Bash,Normal,100,100,15,Beedrill
337,Rest,Psychic,0,0,10,Beedrill
338,Substitute,Normal,0,0,10,Beedrill
339,Cut,Normal,50,95,30,Beedrill
340,Gust,Normal,40,100,35,Pidgey
341,Sand-Attack,Normal,0,100,15,Pidgey
342,Quick Attack,Normal,40,100,30,Pidgey
343,Whirlwind,Normal,0,85,20,Pidgey
344,Wing Attack,Flying,35,100,35,Pidgey
345,Agility,Psychic,0,0,30,Pidgey
346,Mirror Move,Flying,0,0,20,Pidgey
347,Razor Wind,Normal,80,75,10,Pidgey
348,Whirlwind,Normal,0,85,20,Pidgey
349,Toxic,Poison,0,85,10,Pidgey
350,Take Down,Normal,90,85,20,Pidgey
351,Double-Edge,Normal,100,100,15,Pidgey
352,Rage,Normal,20,100,20,Pidgey
353,Mimic,Normal,0,100,10,Pidgey
354,Double Team,Normal,0,0,15,Pidgey
355,Reflect,Psychic,0,0,20,Pidgey
356,Bide,Normal,0,0,10,Pidgey
357,Swift,Normal,60,0,20,Pidgey
358,Sky Attack,Flying,140,90,5,Pidgey
359,Rest,Psychic,0,0,10,Pidgey
360,Substitute,Normal,0,0,10,Pidgey
361,Fly,Flying,70,95,15,Pidgey
362,Gust,Normal,40,100,35,Pidgeotto
363,Sand-Attack,Normal,0,100,15,Pidgeotto
364,Sand-Attack,Normal,0,100,15,Pidgeotto
365,Quick Attack,Normal,40,100,30,Pidgeotto
366,Whirlwind,Normal,0,85,20,Pidgeotto
367,Wing Attack,Flying,35,100,35,Pidgeotto
368,Agility,Psychic,0,0,30,Pidgeotto
369,Mirror Move,Flying,0,0,20,Pidgeotto
370,Razor Wind,Normal,80,75,10,Pidgeotto
371,Whirlwind,Normal,0,85,20,Pidgeotto
372,Toxic,Poison,0,85,10,Pidgeotto
373,Take Down,Normal,90,85,20,Pidgeotto
374,Double-Edge,Normal,100,100,15,Pidgeotto
375,Rage,Normal,20,100,20,Pidgeotto
376,Mimic,Normal,0,100,10,Pidgeotto
377,Double Team,Normal,0,0,15,Pidgeotto
378,Reflect,Psychic,0,0,20,Pidgeotto
379,Bide,Normal,0,0,10,Pidgeotto
380,Swift,Normal,60,0,20,Pidgeotto
381,Sky Attack,Flying,140,90,5,Pidgeotto
382,Rest,Psychic,0,0,10,Pidgeotto
383,Substitute,Normal,0,0,10,Pidgeotto
384,Fly,Flying,70,95,15,Pidgeotto
385,Gust,Normal,40,100,35,Pidgeot
386,Sand-Attack,Normal,0,100,15,Pidgeot
387,Quick Attack,Normal,40,100,30,Pidgeot
388,Sand-Attack,Normal,0,100,15,Pidgeot
389,Quick Attack,Normal,40,100,30,Pidgeot
390,Whirlwind,Normal,0,85,20,Pidgeot
391,Wing Attack,Flying,35,100,35,Pidgeot
392,Agility,Psychic,0,0,30,Pidgeot
393,Mirror Move,Flying,0,0,20,Pidgeot
394,Razor Wind,Normal,80,75,10,Pidgeot
395,Whirlwind,Normal,0,85,20,Pidgeot
396,Toxic,Poison,0,85,10,Pidgeot
397,Take Down,Normal,90,85,20,Pidgeot
398,Double-Edge,Normal,100,100,15,Pidgeot
399,Hyper Beam,Normal,150,90,5,Pidgeot
400,Rage,Normal,20,100,20,Pidgeot
401,Mimic,Normal,0,100,10,Pidgeot
402,Double Team,Normal,0,0,15,Pidgeot
403,Reflect,Psychic,0,0,20,Pidgeot
404,Bide,Normal,0,0,10,Pidgeot
405,Swift,Normal,60,0,20,Pidgeot
406,Sky Attack,Flying,140,90,5,Pidgeot
407,Rest,Psychic,0,0,10,Pidgeot
408,Substitute,Normal,0,0,10,Pidgeot
409,Fly,Flying,70,95,15,Pidgeot
410,Tackle,Normal,35,95,35,Rattata
411,Tail Whip,Normal,0,100,30,Rattata
412,Quick Attack,Normal,40,100,30,Rattata
413,Hyper Fang,Normal,80,90,15,Rattata
414,Focus Energy,Normal,0,0,30,Rattata
415,Super Fang,Normal,0,90,10,Rattata
416,Toxic,Poison,0,85,10,Rattata
417,Body Slam,Normal,85,100,15,Rattata
418,Take Down,Normal,90,85,20,Rattata
419,Double-Edge,Normal,100,100,15,Rattata
420,BubbleBeam,Water,65,100,20,Rattata
421,Water Gun,Water,40,100,25,Rattata
422,Blizzard,Ice,120,90,5,Rattata
423,Rage,Normal,20,100,20,Rattata
424,Thunderbolt,Electric,95,100,15,Rattata
425,Thunder,Electric,120,70,10,Rattata
426,Dig,Ground,100,100,10,Rattata
427,Mimic,Normal,0,100,10,Rattata
428,Double Team,Normal,0,0,15,Rattata
429,Bide,Normal,0,0,10,Rattata
430,Swift,Normal,60,0,20,Rattata
431,Skull Bash,Normal,100,100,15,Rattata
432,Rest,Psychic,0,0,10,Rattata
433,Substitute,Normal,0,0,10,Rattata
434,Tackle,Normal,35,95,35,Raticate
435,Tail Whip,Normal,0,100,30,Raticate
436,Quick Attack,Normal,40,100,30,Raticate
437,Quick Attack,Normal,40,100,30,Raticate
438,Hyper Fang,Normal,80,90,15,Raticate
439,Focus Energy,Normal,0,0,30,Raticate
440,Super Fang,Normal,0,90,10,Raticate
441,Toxic,Poison,0,85,10,Raticate
442,Body Slam,Normal,85,100,15,Raticate
443,Take Down,Normal,90,85,20,Raticate
444,Double-Edge,Normal,100,100,15,Raticate
445,BubbleBeam,Water,65,100,20,Raticate
446,Water Gun,Water,40,100,25,Raticate
447,Ice Beam,Ice,95,100,10,Raticate
448,Blizzard,Ice,120,90,5,Raticate
449,Hyper Beam,Normal,150,90,5,Raticate
450,Rage,Normal,20,100,20,Raticate
451,Thunderbolt,Electric,95,100,15,Raticate
452,Thunder,Electric,120,70,10,Raticate
453,Dig,Ground,100,100,10,Raticate
454,Mimic,Normal,0,100,10,Raticate
455,Double Team,Normal,0,0,15,Raticate
456,Bide,Normal,0,0,10,Raticate
457,Swift,Normal,60,0,20,Raticate
458,Skull Bash,Normal,100,100,15,Raticate
459,Rest,Psychic,0,0,10,Raticate
460,Substitute,Normal,0,0,10,Raticate
461,Peck,Flying,35,100,35,Spearow
462,Growl,Normal,0,100,40,Spearow
463,Leer,Normal,0,100,30,Spearow
464,Fury Attack,Normal,15,85,20,Spearow
465,Mirror Move,Flying,0,0,20,Spearow
466,Drill Peck,Flying,80,100,20,Spearow
467,Agility,Psychic,0,0,30,Spearow
468,Razor Wind,Normal,80,75,10,Spearow
469,Whirlwind,Normal,0,85,20,Spearow
470,Toxic,Poison,0,85,10,Spearow
471,Take Down,Normal,90,85,20,Spearow
472,Double-Edge,Normal,100,100,15,Spearow
473,Rage,Normal,20,100,20,Spearow
474,Mimic,Normal,0,100,10,Spearow
475,Double Team,Normal,0,0,15,Spearow
476,Bide,Normal,0,0,10,Spearow
477,Swift,Normal,60,0,20,Spearow
478,Sky Attack,Flying,140,90,5,Spearow
479,Rest,Psychic,0,0,10,Spearow
480,Substitute,Normal,0,0,10,Spearow
481,Fly,Flying,70,95,15,Spearow
482,Peck,Flying,35,100,35,Fearow
483,Growl,Normal,0,100,40,Fearow
484,Leer,Normal,0,100,30,Fearow
485,Leer,Normal,0,100,30,Fearow
486,Fury Attack,Normal,15,85,20,Fearow
487,Mirror Move,Flying,0,0,20,Fearow
488,Drill Peck,Flying,80,100,20,Fearow
489,Agility,Psychic,0,0,30,Fearow
490,Razor Wind,Normal,80,75,10,Fearow
491,Whirlwind,Normal,0,85,20,Fearow
492,Toxic,Poison,0,85,10,Fearow
493,Take Down,Normal,90,85,20,Fearow
494,Double-Edge,Normal,100,100,15,Fearow
495,Hyper Beam,Normal,150,90,5,Fearow
496,Rage,Normal,20,100,20,Fearow
497,Mimic,Normal,0,100,10,Fearow
498,Double Team,Normal,0,0,15,Fearow
499,Bide,Normal,0,0,10,Fearow
500,Swift,Normal,60,0,20,Fearow
501,Sky Attack,Flying,140,90,5,Fearow
502,Rest,Psychic,0,0,10,Fearow
503,Substitute,Normal,0,0,10,Fearow
504,Fly,Flying,70,95,15,Fearow
505,Wrap,Normal,15,85,20,Ekans
506,Leer,Normal,0,100,30,Ekans
507,Poison Sting,Poison,15,100,35,Ekans
508,Bite,Normal,60,100,25,Ekans
509,Glare,Normal,0,75,30,Ekans
510,Screech,Normal,0,85,40,Ekans
511,Acid,Poison,40,100,30,Ekans
512,Toxic,Poison,0,85,10,Ekans
513,Body Slam,Normal,85,100,15,Ekans
514,Take Down,Normal,90,85,20,Ekans
515,Double-Edge,Normal,100,100,15,Ekans
516,Rage,Normal,20,100,20,Ekans
517,Mega Drain,Grass,40,100,10,Ekans
518,Earthquake,Ground,100,100,10,Ekans
519,Fissure,Ground,0,30,5,Ekans
520,Dig,Ground,100,100,10,Ekans
521,Mimic,Normal,0,100,10,Ekans
522,Double Team,Normal,0,0,15,Ekans
523,Bide,Normal,0,0,10,Ekans
524,Skull Bash,Normal,100,100,15,Ekans
525,Rest,Psychic,0,0,10,Ekans
526,Rock Slide,Rock,75,90,10,Ekans
527,Substitute,Normal,0,0,10,Ekans
528,Strength,Normal,80,100,15,Ekans
529,Wrap,Normal,15,85,20,Arbok
530,Leer,Normal,0,100,30,Arbok
531,Poison Sting,Poison,15,100,35,Arbok
532,Poison Sting,Poison,15,100,35,Arbok
533,Bite,Normal,60,100,25,Arbok
534,Glare,Normal,0,75,30,Arbok
535,Screech,Normal,0,85,40,Arbok
536,Acid,Poison,40,100,30,Arbok
537,Toxic,Poison,0,85,10,Arbok
538,Body Slam,Normal,85,100,15,Arbok
539,Take Down,Normal,90,85,20,Arbok
540,Double-Edge,Normal,100,100,15,Arbok
541,Hyper Beam,Normal,150,90,5,Arbok
542,Rage,Normal,20,100,20,Arbok
543,Mega Drain,Grass,40,100,10,Arbok
544,Earthquake,Ground,100,100,10,Arbok
545,Fissure,Ground,0,30,5,Arbok
546,Dig,Ground,100,100,10,Arbok
547,Mimic,Normal,0,100,10,Arbok
548,Double Team,Normal,0,0,15,Arbok
549,Bide,Normal,0,0,10,Arbok
550,Skull Bash,Normal,100,100,15,Arbok
551,Rest,Psychic,0,0,10,Arbok
552,Rock Slide,Rock,75,90,10,Arbok
553,Substitute,Normal,0,0,10,Arbok
554,Strength,Normal,80,100,15,Arbok
555,ThunderShock,Electric,40,100,30,Pikachu
556,Growl,Normal,0,100,40,Pikachu
557,Tail Whip,Normal,0,100,30,Pikachu
558,Thunder Wave,Electric,0,100,20,Pikachu
559,Quick Attack,Normal,40,100,30,Pikachu
560,Double Team,Normal,0,101,15,Pikachu
561,Slam,Normal,80,75,20,Pikachu
562,Thunderbolt,Electric,95,100,15,Pikachu
563,Agility,Psychic,0,101,30,Pikachu
564,Thunder,Electric,120,70,10,Pikachu
565,Light Screen,Psychic,0,101,30,Pikachu
566,Swift,Normal,60,101,20,Pikachu
567,Mega Punch,Normal,80,85,20,Pikachu
568,Mega Kick,Normal,120,75,5,Pikachu
569,Toxic,Poison,0,85,10,Pikachu
570,Body Slam,Normal,85,100,15,Pikachu
571,Take Down,Normal,90,85,20,Pikachu
572,Double-Edge,Normal,100,100,15,Pikachu
573,Pay Day,Normal,40,100,20,Pikachu
574,Submission,Fighting,80,80,25,Pikachu
575,Seismic Toss,Fighting,0,100,20,Pikachu
576,Rage,Normal,20,100,20,Pikachu
577,Thunderbolt,Electric,95,100,15,Pikachu
578,Thunder,Electric,120,70,10,Pikachu
579,Mimic,Normal,0,100,10,Pikachu
580,Double Team,Normal,0,0,15,Pikachu
581,Reflect,Psychic,0,0,20,Pikachu
582,Bide,Normal,0,0,10,Pikachu
583,Swift,Normal,60,0,20,Pikachu
584,Skull Bash,Normal,100,100,15,Pikachu
585,Rest,Psychic,0,0,10,Pikachu
586,Thunder Wave,Electric,0,100,20,Pikachu
587,Substitute,Normal,0,0,10,Pikachu
588,Flash,Normal,0,70,20,Pikachu
589,ThunderShock,Electric,40,100,30,Raichu
590,Growl,Normal,0,100,40,Raichu
591,Thunder Wave,Electric,0,100,20,Raichu
